Study_Network_id,n_plants_total,total_pollinator_richness,n_plants_sampled,captured_pollinator_richness,repetition,sampling_proportion,sampling_percent,pollinator_richness_captured_percent
28_Sutter_13_2014,30,11,3,2,1,0.1,10,18.181818181818183
28_Sutter_14_2013,20,12,2,5,1,0.1,10,41.666666666666664
28_Sutter_17_2013,47,17,5,4,1,0.1,10,23.529411764705884
28_Sutter_19_2013,35,20,4,5,1,0.1,10,25
28_Sutter_1_2013,46,14,5,6,1,0.1,10,42.857142857142854
28_Sutter_20_2013,24,15,3,0,1,0.1,10,0
28_Sutter_21_2013,43,16,5,3,1,0.1,10,18.75
28_Sutter_2_2013,29,15,3,5,1,0.1,10,33.333333333333336
28_Sutter_3_2013,34,21,4,1,1,0.1,10,4.761904761904762
28_Sutter_5_2013,50,23,5,8,1,0.1,10,34.78260869565217
28_Sutter_8_2013,34,17,4,2,1,0.1,10,11.764705882352942
28_Sutter_8_2014,22,18,3,3,1,0.1,10,16.666666666666668
29_Magrach_Gibraleon_2011,16,27,2,0,1,0.1,10,0
29_Magrach_Gravera_2011,18,25,2,3,1,0.1,10,12
29_Magrach_Niebla_2011,18,31,2,11,1,0.1,10,35.483870967741936
29_Magrach_Niebla_2012,21,26,3,13,1,0.1,10,50
29_Magrach_Villablanca_2011,18,22,2,4,1,0.1,10,18.181818181818183
2_Petanidou_Armolia_2015,37,73,4,19,1,0.1,10,26.027397260273972
2_Petanidou_Emborios_2015,21,80,3,10,1,0.1,10,12.5
2_Petanidou_Gridia_2015,38,73,4,10,1,0.1,10,13.698630136986301
2_Petanidou_Kato Fana_2015,14,60,2,6,1,0.1,10,10
2_Petanidou_Palios Katarraktis_2015,39,73,4,0,1,0.1,10,0
2_Petanidou_Vessa 2_2015,28,98,3,10,1,0.1,10,10.204081632653061
30_Smith_lsk48_2012,30,22,3,1,1,0.1,10,4.545454545454546
